type;area;to_matro;how;price
комната;Коньково;15;пешком;15
комната;Мещанский;;пешком;16
комната;Зябликово;;пешком;15
комната;Филёвский Парк;15;пешком;18
комната;Северный;;;17
комната;Лианозово;;;17
комната;Алтуфьевский;;;17
комната;Марфино;;;17
комната;Отрадное;;;17
комната;Бутырский;;;17
комната;Останкинский;;;17
комната;Бибирево;;;17
комната;Марьина Роща;;;17
комната;Свиблово;;;17
комната;Южное Медведково;;;17
комната;Северное Медведково;;;17
комната;Ростокино;;;17
комната;Алексеевский;;;17
комната;Бабушкинский;;;17
комната;Ярославский;;;17
комната;Лосиноостровский;;;17
комната;Пресненский;;;20
комната;Хамовники;;;20
комната;Арбат;;;20
комната;Тверской;;;20
комната;Якиманка;;;20
комната;Мещанский;;;20
комната;Замоскворечье;;;20
комната;Басманный;;;20
комната;Красносельский;;;20
комната;Таганский;;;20
